1000 339
564 24 6999
24 182 2689
182 819 8489
819 175 6194
564 775 5243
775 151 9179
819 913 9104
564 142 2103
24 42 4130
564 479 8739
819 685 6770
564 455 9878
455 197 8552
775 721 8564
721 865 5781
151 327 1325
24 867 5222
42 249 178
685 780 2329
182 990 8878
142 579 408
24 868 4709
913 352 1200
249 431 3380
819 238 7491
579 27 3476
579 754 1099
579 524 4880
327 648 8239
868 92 417
92 657 8505
524 853 3149
721 554 2106
819 911 3788
151 745 2400
175 667 4710
721 970 7073
913 577 8670
579 614 2580
564 979 9953
151 208 6871
819 414 7034
42 549 9485
979 873 3970
911 738 5355
780 750 4445
750 694 8831
979 365 3937
524 767 3622
352 174 4426
721 18 6741
151 5 5180
238 582 1256
721 447 8436
780 4 8601
685 343 257
738 918 8168
614 432 9791
577 771 5555
5 192 8079
867 136 7202
151 808 1120
5 955 6468
955 237 3320
819 367 2779
479 272 6110
92 723 3232
455 946 9683
272 906 1489
946 959 4674
721 702 6506
42 770 1912
414 551 4923
771 271 8677
18 697 8166
808 587 7738
918 573 5629
873 707 7751
667 967 264
648 376 2185
697 13 5167
819 101 8913
808 731 2286
479 344 5588
979 424 3065
911 345 6566
564 357 7894
5 583 6947
42 561 2883
721 335 3293
587 575 5081
197 744 2767
868 457 6238
955 546 9157
92 439 7939
873 251 5895
918 644 2338
182 996 4206
272 871 6105
738 75 1100
996 12 2758
573 836 7796
911 395 8846
738 235 3468
723 595 3069
4 481 9128
583 673 4142
367 766 5210
564 322 8763
583 270 3232
767 759 8411
424 557 2510
871 64 6636
595 756 8075
272 69 9213
836 833 965
75 930 9544
352 410 8973
13 133 6206
967 339 6469
587 764 5552
771 108 3774
151 869 3841
780 516 2775
376 438 6054
238 310 2009
238 533 4187
930 511 7916
702 76 289
868 181 6266
868 552 7869
136 19 4175
644 800 8694
516 988 8504
142 956 1939
685 44 4172
13 254 567
92 188 9886
913 802 9632
575 937 9715
455 217 7722
237 289 2853
524 189 8944
865 539 9082
988 804 3110
577 499 1437
